"Treatment","Replicate","ResponseGT","ResponseGTPH","ResponseGTBuds","ResponseGTMultiple","Total_Hypha","Failures"
"No Treatment (positive control)",1,176,0,0,0,176,24
"No Treatment (positive control)",2,168,0,0,0,168,32
"No Treatment (positive control)",3,173,0,0,0,173,27
"No Treatment (positive control)",4,159,0,0,0,159,41
"No Treatment (positive control)",5,174,0,0,0,174,26
"Whole Aloe arborescens Extract",1,8,0,0,0,8,192
"Whole Aloe arborescens Extract",2,8,0,0,0,8,192
"Whole Aloe arborescens Extract",3,4,0,0,0,4,196
"Whole Aloe arborescens Extract",4,7,0,0,0,7,193
"Whole Aloe arborescens Extract",5,3,0,0,0,3,197
"compound 'A' isolated from Aloe arborescens",1,16,0,11,5,32,168
"compound 'A' isolated from Aloe arborescens",2,21,0,16,6,43,157
"compound 'A' isolated from Aloe arborescens",3,11,0,6,5,22,178
"compound 'A' isolated from Aloe arborescens",4,13,0,12,2,27,173
"compound 'A' isolated from Aloe arborescens",5,8,0,7,2,17,183
"compound 'A-SA' from Sigma Aldrich",1,6,0,17,4,27,173
"compound 'A-SA' from Sigma Aldrich",2,17,0,9,1,27,173
"compound 'A-SA' from Sigma Aldrich",3,9,0,6,5,20,180
"compound 'A-SA' from Sigma Aldrich",4,10,0,8,0,18,182
"compound 'A-SA' from Sigma Aldrich",5,12,2,11,3,28,172
"compound 'B' isolated from Aloe arborescens",1,34,0,5,5,44,156
"compound 'B' isolated from Aloe arborescens",2,21,0,9,6,36,164
"compound 'B' isolated from Aloe arborescens",3,14,0,6,4,24,176
"compound 'B' isolated from Aloe arborescens",4,29,2,7,2,40,160
"compound 'B' isolated from Aloe arborescens",5,24,2,4,0,30,170
"compound 'B-SA' from Sigma Aldrich",1,49,1,2,1,53,147
"compound 'B-SA' from Sigma Aldrich",2,38,0,9,6,53,147
"compound 'B-SA' from Sigma Aldrich",3,36,1,2,4,43,157
"compound 'B-SA' from Sigma Aldrich",4,62,0,0,0,62,138
"compound 'B-SA' from Sigma Aldrich",5,36,0,2,0,38,162
"combination of A and B",1,21,2,2,0,25,175
"combination of A and B",2,16,0,0,2,18,182
"combination of A and B",3,17,3,2,0,22,178
"combination of A and B",4,19,2,2,1,24,176
"combination of A and B",5,16,0,1,1,18,182
"combination of A-SA and B-SA",1,12,2,2,0,16,184
"combination of A-SA and B-SA",2,14,0,0,2,16,184
"combination of A-SA and B-SA",3,19,0,1,0,20,180
"combination of A-SA and B-SA",4,23,1,2,1,27,173
"combination of A-SA and B-SA",5,17,1,0,0,18,182
